Country;Product;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Ireland;Renewable sources;466;682;644;786;521;594;749;698;826;838;862;802;784;688;833;919;681;872;692;697;746;822;780;939;729;763;809;1170;1125;1186;1027;1382;1138;1394;1873.432;2474.747;2794.954;3587.221;4108.959;3728.782;5423.594;5256.269;5627.591;6392.147;7861.483;7513.445;8879.339;10194.571;11122.477
Ireland;Total;6304;6889;7348;7631;7521;8308;9021;9646;10640;10566;10529;10530;10784;11236;11741;12307;12629;12895;13534;14229;14930;15780;16149;16828;17604;18920;19689;20878;21766;23674;24632;24843;24861;25215;25626.432;27115.747;27848.066;29907.614;27958.319;28176.394;27164.028;27143.263;25575.683;25807.998;28102.522;30221.011;30669.31;30896.217;30047.551
Israel;Fossil fuels;7639;8478;8720;9158;9712;10361;11108;11874;12436;12404;12975;13639;14354;14663;15430;16028;17667;19342;20450;20895;21508;25115;25989;28401;30400;32507;35075;37930;39182;42630;43931;45468;46998;47240;48563;50533;53768;56750;54641;58389;59298;62519;60751;59892;63012;65318;65741.881;66977.913;68664.806
Israel;Nuclear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Israel;Renewable sources;0;0;0;0;0;0;0;0;0;0;2;2;1;2;2;6;10;10;3;3;6;29;26;23;25;24;25;25;33;31;20;32;43;39;39;25;24;31.502;99.162;170.706;300.374;483.959;570.977;921.482;1214.335;1657.503;1690.564;1756.99;2899.292
Israel;Total;7639;8478;8720;9158;9712;10361;11108;11874;12436;12404;12977;13641;14355;14665;15432;16034;17677;19352;20453;20898;21514;25144;26015;28424;30425;32531;35100;37955;39215;42661;43951;45500;47041;47279;48602;50558;53792;57001.502;55008.162;58591.706;59678.374;63002.959;61321.977;60813.482;64226.335;66975.503;67674.475;68893.869;71723.064
Italy;Fossil fuels;77267;85113;99406;101902;96971;114988;106704;119389;126599;132062;129744;130039;129488;126876;130909;135358;154708;156019;169722;178190;172802;176501;174077;180060;195366;192602;199374;206015;206587;217762;215971;227646;237404;239540;245805;254392;257790;252749;216705;218886;214572;202058;172850;154324;169632;176682;186972.158;170522.346;171959
Italy;Nuclear;3365;3626;3142;3410;3800;3807;3385;4428;2628;2208;2707;6804;5783;6887;7024;8758;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Italy;Renewable sources;43288;45155;41368;42042;45007;42988;54869;49302;49772;49204;46503;44983;44838;45873;44304;44779;43410;44671;37258;34905;45539;45767;45223;48240;41458;46223;46206;46476;51315;50879.446;54347.273;48316.358;46865.8;53870.877;48438.733;50635.311;47714.227;58162.96;69254.482;76965.764;82962.721;92222.893;112011.395;120679.441;108905.324;108022.756;103897.658;114414.664;114837.5
Italy;Total;123920;133894;143916;147354;145778;161783;164958;173119;178999;183474;178954;181826;180109;179636;182237;188895;198292;200690;207115;213147;218449;222668;219745;228740;237364;239398;246524;253655;259255;269941.446;271893.273;277533.358;286277.8;295776.877;296839.733;307691.311;308221.227;313526.96;288334.482;298773.764;300647.721;297297.893;287908.395;278116.441;281561.324;287942.756;294004.051;287992.096;289970
